t (s),V (mV),,t (s),V (mV),,t (s),V (mV)
402.814,9.5438,,402.814,2.255891729,,402.814,3.733342729
403.814,9.5391,,403.814,2.255399141,,403.814,3.732850141
404.814,9.533,,404.814,2.254759464,,404.814,3.732210464
405.814,9.5281,,405.814,2.254245327,,405.814,3.731696327
406.814,9.5237,,406.814,2.253783429,,406.814,3.731234429
407.814,9.5179,,407.814,2.253174236,,407.814,3.730625236
408.814,9.5127,,408.814,2.252627748,,408.814,3.730078748
409.814,9.5074,,409.814,2.252070443,,409.814,3.729521443
410.814,9.5033,,410.814,2.251639107,,410.814,3.729090107
411.813,9.4967,,411.813,2.25094437,,411.813,3.72839537
412.814,9.4918,,412.814,2.250428268,,412.814,3.727879268
413.814,9.4874,,413.814,2.249964602,,413.814,3.727415602
414.814,9.482,,414.814,2.249395264,,414.814,3.726846264
415.814,9.4764,,415.814,2.248804497,,415.814,3.726255497
416.814,9.4714,,416.814,2.248276732,,416.814,3.725727732
417.814,9.4658,,417.814,2.247685303,,417.814,3.725136303
418.814,9.4609,,418.814,2.247167516,,418.814,3.724618516
419.814,9.4554,,419.814,2.246586007,,419.814,3.724037007
420.813,9.4495,,420.813,2.24596183,,420.813,3.72341283
421.814,9.445,,421.814,2.245485501,,421.814,3.722936501
422.814,9.4397,,422.814,2.2449242,,422.814,3.7223752
423.814,9.4342,,423.814,2.244341385,,423.814,3.721792385
424.813,9.4281,,424.813,2.243694592,,424.813,3.721145592
425.814,9.423,,425.814,2.243153509,,425.814,3.720604509
426.814,9.4182,,426.814,2.242643988,,426.814,3.720094988
427.814,9.4126,,427.814,2.242049217,,427.814,3.719500217
428.814,9.4072,,428.814,2.241475354,,428.814,3.718926354
429.814,9.4024,,429.814,2.240964976,,429.814,3.718415976
430.814,9.3966,,430.814,2.240347922,,430.814,3.717798922
431.813,9.3907,,431.813,2.239719838,,431.813,3.717170838
432.814,9.3857,,432.814,2.239187254,,432.814,3.716638254
433.814,9.3809,,433.814,2.238675707,,433.814,3.716126707
434.814,9.375,,434.814,2.238046572,,434.814,3.715497572
435.814,9.3699,,435.814,2.237502424,,435.814,3.714953424
436.814,9.3643,,436.814,2.236904587,,436.814,3.714355587
437.814,9.3594,,437.814,2.236381186,,437.814,3.713832186
438.814,9.3537,,438.814,2.235771987,,438.814,3.713222987
439.813,9.3492,,439.813,2.235290778,,439.813,3.712741778
440.814,9.3424,,440.814,2.234563179,,440.814,3.712014179
441.814,9.3368,,441.814,2.233963581,,441.814,3.711414581
442.814,9.3319,,442.814,2.233438638,,442.814,3.710889638
443.814,9.3265,,443.814,2.232859811,,443.814,3.710310811
444.814,9.3209,,444.814,2.232259191,,444.814,3.709710191
445.814,9.3158,,445.814,2.231711883,,445.814,3.709162883
446.814,9.3098,,446.814,2.231067609,,446.814,3.708518609
447.813,9.3045,,447.813,2.230498154,,447.813,3.707949154
